tsne_1,tsne_2
13.3471155,-29.018326
-22.34428,-30.056093
-4.644741,7.4131846
46.5608,-21.998915
-39.22037,-3.263735
-20.18175,-16.192646
-66.012825,12.188164
5.9506764,21.691406
-1.2073284,7.126225
-59.171898,-1.0469183
-2.2245307,-30.774637
-33.54331,33.22661
-19.546589,-5.535768
16.310417,36.23168
0.09640591,19.94222
-27.755081,12.989038
-31.13152,-22.069485
2.1116474,5.769776
-2.9263284,39.409893
-32.218597,32.673027
9.775969,34.226604
-19.414316,30.93647
-29.512619,29.101437
-37.63621,-31.130253
-17.656288,-33.313347
45.196667,-29.1261
-63.726192,15.613216
4.059221,-13.43558
-21.847332,-6.66773
9.913352,29.246672
12.912042,-35.900677
14.306925,-5.339446
-52.861706,0.8942474
-56.895103,-11.470986
-25.171503,19.210741
-66.66482,-4.664576
-17.17412,-39.463013
-63.88024,-2.2724907
-23.94267,34.83639
35.030434,30.927979
24.811975,-24.211912
-58.183956,5.2848654
56.688114,20.465567
23.552696,-14.7515545
-7.674549,-28.345478
48.45482,-14.315367
-33.86278,28.987743
15.401652,22.416576
-7.24711,5.478582
-23.500725,15.371745
-50.87363,-22.182941
14.240883,20.697477
-56.052483,21.56181
-47.11215,-5.49067
55.374023,19.618874
-43.473663,18.739267
-20.032124,30.587664
-70.21873,6.63531
45.65498,8.555137
-70.3164,6.6599708
-12.016429,-32.613293
-47.832027,-3.5882115
-10.729917,-9.987156
-45.52291,20.120535
11.938611,-16.21013
-35.091515,12.957513
-14.8309765,38.98664
46.694233,-27.43071
5.0232587,22.176647
-11.520497,-43.45513
-49.705334,-7.742451
39.38933,-26.25972
19.55215,32.63438
29.335653,12.773988
-19.32201,-26.448458
22.954103,9.49316
-35.01353,-15.974394
-67.78016,11.433291
19.729677,6.4820037
10.494453,-16.489399
14.3562565,39.78724
-58.278675,-16.306892
-11.300139,16.168037
-7.7708817,-15.1107025
27.997488,-19.987019
-68.516785,-0.55217373
24.06201,-36.422497
-28.037628,-31.60706
-38.803032,20.524136
-36.42228,-24.293747
42.189247,17.924267
58.833935,-0.96134233
30.43547,-4.1678457
-3.1766117,-26.947344
-54.347683,-14.598279
19.350164,-47.349422
-34.160297,-24.020422
51.084923,-11.712177
-62.116467,-3.6588237
-45.837162,-9.355491
13.531472,-51.245346
-61.828407,14.800349
-64.00238,-5.878618
-38.043526,10.187409
23.778204,-44.196297
32.381275,-17.455585
-27.674261,-29.962723
-58.716026,-11.526273
47.81727,-5.8250933
-62.013374,2.4085717
14.367834,33.334324
37.511448,5.82668
-23.87947,8.726582
26.486238,-43.399563
40.68766,16.88523
-9.368935,6.713076
-33.25647,13.871014
37.2836,-14.786917
29.278456,24.391249
17.048855,-14.363336
35.18698,-8.513768
-30.124268,23.195044
13.497027,36.625496
-10.221039,-38.58654
-20.789259,16.984705
-60.337833,-11.307856
-47.678925,-9.808052
43.45804,-2.610881
-18.92723,21.163004
-12.525464,-43.742153
2.9941092,-29.077324
20.926666,-29.680876
-12.104892,39.699505
-14.674869,-41.17358
-50.477,12.725772
16.883266,-43.719593
-35.36786,29.670252
32.589745,-18.177095
16.550846,-14.033032
-56.02994,15.299711
-28.29965,12.578031
-1.085918,27.83164
-20.971283,3.7212005
-48.519814,16.469015
25.761707,23.84072
41.11481,28.817772
-22.420965,-5.602144
-19.186556,31.430683
30.159067,38.73236
-57.410007,21.311962
-55.434376,16.294245
-11.587043,39.171204
-47.417156,-18.550999
-68.523964,3.2348776
-31.911339,-16.208738
-34.451473,25.632378
